date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
2009-01-02 04:00:00,998.32,-4.58,268.71,-5.22,95.2,4.34,4.14,0.21,2.58,4.14,1292.83,0.77,1.38,190.2
2009-01-02 04:30:00,997.95,-4.74,268.58,-5.33,95.6,4.29,4.1,0.19,2.56,4.11,1293.15,1.05,1.5,223.2
2009-01-02 05:00:00,998.1,-4.96,268.34,-5.5,96.0,4.22,4.05,0.17,2.53,4.06,1294.44,0.79,1.25,22.22
2009-01-02 05:30:00,998.13,-4.63,268.68,-5.14,96.2,4.33,4.16,0.16,2.6,4.17,1292.8,0.44,1.0,30.37
2009-01-02 06:00:00,998.0,-4.43,268.88,-4.94,96.2,4.39,4.23,0.17,2.64,4.23,1291.66,0.81,2.13,40.88
2009-01-02 06:30:00,998.21,-4.25,269.05,-4.81,95.8,4.46,4.27,0.19,2.66,4.28,1291.03,0.25,0.75,59.41
2009-01-02 07:00:00,998.17,-4.28,269.02,-4.89,95.5,4.44,4.24,0.2,2.65,4.25,1291.15,0.53,1.13,156.4
2009-01-02 07:30:00,998.22,-4.33,268.97,-4.97,95.2,4.43,4.22,0.21,2.63,4.22,1291.44,1.04,1.75,197.7
2009-01-02 08:00:00,998.18,-4.33,268.97,-5.04,94.8,4.43,4.2,0.23,2.62,4.2,1291.44,1.64,2.38,178.7
2009-01-02 08:30:00,998.15,-4.3,269.0,-5.06,94.4,4.44,4.19,0.25,2.61,4.2,1291.24,1.97,2.63,174.8
2009-01-02 09:00:00,998.35,-4.13,269.16,-4.97,93.8,4.49,4.22,0.28,2.63,4.22,1290.68,1.32,1.88,184.5
2009-01-02 09:30:00,998.53,-3.9,269.38,-4.84,93.1,4.57,4.26,0.32,2.66,4.27,1289.77,1.42,1.88,180.8
2009-01-02 10:00:00,998.65,-3.93,269.34,-4.99,92.3,4.56,4.21,0.35,2.63,4.22,1290.1,1.83,2.25,141.7
2009-01-02 10:30:00,998.84,-3.9,269.35,-4.91,92.6,4.57,4.24,0.34,2.64,4.24,1290.2,1.88,2.38,139.7
2009-01-02 11:00:00,998.98,-3.62,269.62,-4.68,92.3,4.67,4.31,0.36,2.69,4.32,1288.99,1.21,1.63,141.5
2009-01-02 11:30:00,998.88,-3.21,270.04,-4.43,91.2,4.82,4.39,0.42,2.74,4.4,1286.88,1.44,1.88,170.6
2009-01-02 12:00:00,998.91,-3.12,270.13,-4.5,90.1,4.85,4.37,0.48,2.73,4.38,1286.47,1.54,2.0,127.0
2009-01-02 12:30:00,998.78,-2.81,270.45,-4.36,89.0,4.96,4.42,0.55,2.76,4.42,1284.82,1.02,1.5,144.3
2009-01-02 13:00:00,998.59,-2.53,270.74,-4.23,88.0,5.07,4.46,0.61,2.78,4.47,1283.22,0.92,1.5,129.4
2009-01-02 13:30:00,998.6,-2.26,271.01,-4.08,87.2,5.17,4.51,0.66,2.81,4.52,1281.93,0.66,1.5,158.1
2009-01-02 14:00:00,998.73,-2.56,270.7,-4.29,87.8,5.06,4.44,0.62,2.77,4.45,1283.56,0.73,1.25,42.4
2009-01-02 14:30:00,998.7,-2.14,271.12,-3.88,87.8,5.22,4.58,0.64,2.86,4.59,1281.45,0.84,1.38,145.3
2009-01-02 15:00:00,998.87,-2.12,271.12,-4.0,86.9,5.22,4.54,0.68,2.83,4.54,1281.64,0.47,1.0,336.3
2009-01-02 15:30:00,999.25,-2.47,270.75,-4.01,89.1,5.09,4.54,0.55,2.83,4.54,1283.77,2.18,2.75,20.08
2009-01-02 16:00:00,999.59,-2.76,270.43,-4.22,89.6,4.98,4.46,0.52,2.78,4.46,1285.63,2.91,4.13,11.99
2009-01-02 16:30:00,999.92,-2.84,270.33,-4.47,88.4,4.95,4.38,0.57,2.73,4.38,1286.45,1.3,2.5,9.22
2009-01-02 17:00:00,1000.21,-2.88,270.26,-4.43,89.0,4.94,4.39,0.54,2.74,4.39,1287.04,1.52,2.88,7.05
2009-01-02 17:30:00,1000.43,-2.97,270.16,-4.32,90.3,4.91,4.43,0.48,2.76,4.43,1287.7,1.5,2.88,8.76
2009-01-02 18:00:00,1000.74,-3.07,270.03,-4.14,92.3,4.87,4.49,0.37,2.8,4.49,1288.58,2.97,4.63,12.56
2009-01-02 18:30:00,1000.98,-3.23,269.85,-4.41,91.5,4.81,4.4,0.41,2.74,4.4,1289.69,3.48,4.63,13.29
2009-01-02 19:00:00,1001.27,-3.34,269.72,-4.64,90.7,4.77,4.33,0.44,2.69,4.32,1290.63,3.07,4.5,14.34
2009-01-02 19:30:00,1001.46,-3.36,269.68,-4.44,92.2,4.76,4.39,0.37,2.73,4.38,1290.94,2.19,3.88,13.96
2009-01-02 20:00:00,1001.83,-3.3,269.72,-4.29,92.8,4.79,4.44,0.34,2.76,4.43,1291.08,2.89,4.0,24.28
2009-01-02 20:30:00,1002.03,-3.36,269.64,-4.41,92.4,4.76,4.4,0.36,2.74,4.39,1291.67,2.89,4.13,21.52
2009-01-02 21:00:00,1002.23,-3.49,269.5,-4.61,91.9,4.72,4.34,0.38,2.69,4.33,1292.57,2.48,3.88,14.31
2009-01-02 21:30:00,1002.37,-3.66,269.32,-4.99,90.4,4.66,4.21,0.45,2.62,4.2,1293.61,3.87,5.0,18.31
2009-01-02 22:00:00,1002.39,-4.02,268.96,-5.58,88.8,4.53,4.03,0.51,2.5,4.02,1295.46,3.06,4.13,23.48
2009-01-02 22:30:00,1002.54,-4.34,268.63,-5.88,88.9,4.42,3.93,0.49,2.44,3.92,1297.24,1.74,2.88,12.55
2009-01-02 23:00:00,1002.52,-4.38,268.59,-5.8,89.7,4.41,3.96,0.45,2.46,3.95,1297.39,0.74,1.38,354.0
2009-01-02 23:30:00,1002.64,-4.57,268.39,-5.97,89.9,4.35,3.91,0.44,2.43,3.9,1298.51,1.38,2.75,349.2
2009-01-03 00:00:00,1002.32,-4.71,268.27,-6.09,90.0,4.3,3.87,0.43,2.41,3.86,1298.79,1.42,1.88,16.85
2009-01-03 00:30:00,1002.49,-5.48,267.49,-6.7,91.1,4.06,3.69,0.36,2.3,3.69,1302.85,0.38,0.88,240.2
2009-01-03 01:00:00,1002.39,-5.28,267.7,-6.35,92.1,4.12,3.79,0.33,2.36,3.78,1301.68,0.27,1.0,292.8
2009-01-03 01:30:00,1002.34,-5.7,267.28,-6.9,91.2,3.99,3.64,0.35,2.26,3.63,1303.75,0.96,1.63,49.94
2009-01-03 02:00:00,1002.27,-6.23,266.76,-7.26,92.3,3.83,3.54,0.29,2.2,3.53,1306.26,0.39,1.0,279.2
2009-01-03 02:30:00,1002.37,-6.41,266.57,-7.31,93.3,3.78,3.52,0.25,2.19,3.51,1307.32,0.47,1.13,196.4
2009-01-03 03:00:00,1002.15,-6.13,266.87,-7.22,91.9,3.86,3.55,0.31,2.2,3.54,1305.61,0.43,0.75,76.8
2009-01-03 03:30:00,1002.06,-6.46,266.54,-7.44,92.7,3.76,3.49,0.27,2.17,3.48,1307.15,0.57,1.0,231.8
2009-01-03 04:00:00,1002.02,-6.21,266.79,-7.32,91.8,3.83,3.52,0.31,2.19,3.51,1305.89,0.77,1.5,273.2
2009-01-03 04:30:00,1001.93,-6.3,266.72,-7.47,91.3,3.81,3.48,0.33,2.16,3.47,1306.2,0.37,0.88,192.0
2009-01-03 05:00:00,1001.65,-7.02,266.01,-8.1,91.9,3.6,3.31,0.29,2.06,3.31,1309.46,0.48,0.88,193.9
2009-01-03 05:30:00,1001.29,-7.54,265.52,-8.5,92.8,3.46,3.21,0.25,2.0,3.21,1311.6,0.45,0.88,58.63
2009-01-03 06:00:00,1001.29,-8.2,264.86,-9.05,93.5,3.29,3.07,0.21,1.91,3.07,1314.93,0.47,1.75,221.4
2009-01-03 06:30:00,1001.13,-7.89,265.18,-9.13,90.7,3.37,3.05,0.31,1.9,3.05,1313.19,2.34,2.88,241.0
2009-01-03 07:00:00,1001.17,-8.48,264.59,-9.91,89.3,3.21,2.87,0.34,1.79,2.87,1316.27,1.32,2.25,229.7
2009-01-03 07:30:00,1001.16,-8.61,264.46,-9.73,91.5,3.18,2.91,0.27,1.81,2.91,1316.88,1.13,1.75,223.9
2009-01-03 08:00:00,1001.04,-9.28,263.8,-10.44,91.2,3.02,2.75,0.27,1.71,2.75,1320.15,0.85,1.75,219.7
2009-01-03 08:30:00,1000.91,-9.85,263.24,-10.95,91.6,2.89,2.64,0.24,1.64,2.64,1322.89,0.72,1.13,213.0
2009-01-03 09:00:00,1000.92,-9.46,263.63,-10.69,90.7,2.98,2.7,0.28,1.68,2.7,1320.91,0.79,1.5,177.8
2009-01-03 09:30:00,1000.85,-9.3,263.8,-10.55,90.5,3.01,2.73,0.29,1.7,2.73,1320.01,0.65,1.0,176.2
2009-01-03 10:00:00,1000.67,-8.53,264.58,-10.83,83.3,3.2,2.67,0.53,1.66,2.67,1315.96,1.08,1.88,167.5
2009-01-03 10:30:00,1000.37,-8.51,264.62,-10.53,85.2,3.21,2.73,0.47,1.7,2.73,1315.44,1.77,2.38,177.1
2009-01-03 11:00:00,1000.04,-7.87,265.29,-9.84,85.6,3.37,2.89,0.49,1.8,2.89,1311.75,1.34,2.25,172.1
2009-01-03 11:30:00,999.56,-6.89,266.31,-9.24,83.2,3.64,3.03,0.61,1.89,3.03,1306.2,1.28,1.88,182.5
2009-01-03 12:00:00,999.02,-5.96,267.28,-8.72,80.7,3.91,3.16,0.75,1.97,3.16,1300.9,1.31,1.88,213.9
2009-01-03 12:30:00,998.69,-4.34,268.92,-7.81,76.6,4.42,3.39,1.04,2.11,3.39,1292.53,1.54,2.13,182.1
2009-01-03 13:00:00,998.3,-2.82,270.47,-7.4,70.5,4.96,3.5,1.46,2.18,3.5,1284.7,1.52,2.25,180.5
2009-01-03 13:30:00,997.84,-2.11,271.22,-7.47,66.55,5.23,3.48,1.75,2.17,3.49,1280.76,1.62,2.25,157.6
2009-01-03 14:00:00,997.53,-2.15,271.2,-7.68,65.61,5.21,3.42,1.79,2.14,3.43,1280.57,0.88,1.5,60.25
2009-01-03 14:30:00,997.13,-1.66,271.72,-9.39,55.33,5.41,2.99,2.42,1.87,3.0,1277.96,2.82,4.25,229.1
2009-01-03 15:00:00,996.91,-0.82,272.59,-9.82,50.25,5.75,2.89,2.86,1.81,2.9,1273.76,1.34,2.25,209.1
2009-01-03 15:30:00,996.58,-2.28,271.14,-10.63,52.52,5.16,2.71,2.45,1.69,2.72,1280.32,1.67,2.63,224.2
2009-01-03 16:00:00,996.25,-2.8,270.65,-12.13,48.39,4.97,2.4,2.56,1.5,2.41,1282.51,1.82,2.5,240.6
2009-01-03 16:30:00,995.92,-4.18,269.3,-12.72,51.12,4.48,2.29,2.19,1.43,2.3,1288.71,2.45,3.13,242.6
2009-01-03 17:00:00,995.76,-4.69,268.8,-12.56,53.86,4.31,2.32,1.99,1.45,2.33,1290.94,2.63,3.5,248.8
2009-01-03 17:30:00,995.6,-4.31,269.19,-11.92,55.11,4.43,2.44,1.99,1.53,2.45,1288.86,3.26,4.38,252.6
2009-01-03 18:00:00,995.48,-4.08,269.43,-11.44,56.32,4.51,2.54,1.97,1.59,2.55,1287.53,3.12,4.63,250.5
2009-01-03 18:30:00,995.41,-3.9,269.62,-11.06,57.28,4.57,2.62,1.95,1.64,2.63,1286.55,1.83,2.75,240.9
2009-01-03 19:00:00,995.44,-3.78,269.73,-10.5,59.35,4.62,2.74,1.88,1.71,2.75,1285.95,0.96,2.13,236.3
2009-01-03 19:30:00,995.19,-3.9,269.63,-10.02,62.26,4.57,2.85,1.73,1.78,2.86,1286.16,0.78,1.75,185.9
2009-01-03 20:00:00,994.94,-3.84,269.72,-9.56,64.22,4.6,2.95,1.64,1.85,2.97,1285.48,0.91,2.13,143.4
2009-01-03 20:30:00,994.64,-3.3,270.27,-8.75,65.81,4.78,3.15,1.64,1.97,3.17,1282.45,0.78,1.88,176.3
2009-01-03 21:00:00,994.3,-3.15,270.45,-8.48,66.47,4.84,3.22,1.62,2.01,3.23,1281.27,0.97,2.0,220.0
2009-01-03 21:30:00,994.04,-2.78,270.84,-8.14,66.4,4.97,3.3,1.67,2.07,3.32,1279.14,1.37,2.5,228.0
2009-01-03 22:00:00,994.06,-2.76,270.86,-7.88,67.66,4.98,3.37,1.61,2.11,3.39,1279.04,1.03,2.0,214.8
2009-01-03 22:30:00,993.61,-2.69,270.97,-7.53,69.12,5.01,3.46,1.55,2.17,3.48,1278.06,1.31,2.13,217.0
2009-01-03 23:00:00,993.28,-2.58,271.1,-7.05,71.2,5.05,3.59,1.45,2.25,3.62,1277.07,1.6,4.25,237.7
2009-01-03 23:30:00,993.14,-2.12,271.58,-6.59,71.3,5.23,3.73,1.5,2.34,3.75,1274.64,1.19,2.25,81.3
2009-01-04 00:00:00,992.93,-1.9,271.81,-6.39,71.2,5.31,3.78,1.53,2.37,3.81,1273.31,1.47,2.5,147.6
2009-01-04 00:30:00,992.57,-1.6,272.14,-5.92,72.2,5.43,3.92,1.51,2.46,3.95,1271.37,1.6,3.5,176.6
2009-01-04 01:00:00,992.19,-1.42,272.35,-5.61,73.0,5.5,4.02,1.49,2.52,4.05,1270.01,2.77,4.75,232.1
2009-01-04 01:30:00,991.97,-2.32,271.47,-4.08,87.6,5.15,4.51,0.64,2.83,4.55,1273.68,1.7,3.5,229.4
2009-01-04 02:00:00,991.76,-2.22,271.58,-3.61,90.1,5.19,4.67,0.51,2.94,4.71,1272.89,1.82,4.75,201.9
2009-01-04 02:30:00,991.58,-2.25,271.56,-3.73,89.5,5.17,4.63,0.54,2.91,4.67,1272.82,1.24,2.75,118.6
2009-01-04 03:00:00,991.26,-2.2,271.64,-3.52,90.6,5.2,4.71,0.49,2.96,4.75,1272.12,0.87,1.88,94.4
2009-01-04 03:30:00,991.09,-1.9,271.96,-3.31,90.0,5.31,4.78,0.53,3.01,4.82,1270.47,1.01,2.13,167.6
2009-01-04 04:00:00,990.83,-1.88,272.0,-3.29,90.0,5.32,4.79,0.53,3.01,4.83,1270.02,0.62,1.75,167.3
2009-01-04 04:30:00,990.63,-1.66,272.24,-2.98,90.6,5.41,4.9,0.51,3.08,4.95,1268.68,0.83,1.63,174.1
2009-01-04 05:00:00,990.37,-1.64,272.28,-2.87,91.2,5.42,4.94,0.48,3.11,4.99,1268.23,1.31,3.13,215.4
2009-01-04 05:30:00,990.22,-1.47,272.46,-2.74,91.0,5.48,4.99,0.49,3.14,5.04,1267.23,1.15,2.25,174.2
2009-01-04 06:00:00,989.99,-1.44,272.5,-2.66,91.3,5.5,5.02,0.48,3.16,5.07,1266.78,1.0,2.38,200.9
2009-01-04 06:30:00,989.92,-1.33,272.62,-2.63,90.8,5.54,5.03,0.51,3.17,5.08,1266.18,1.34,2.63,239.8
2009-01-04 07:00:00,989.9,-1.09,272.86,-2.65,89.1,5.64,5.02,0.61,3.16,5.08,1265.04,2.75,5.75,246.8
2009-01-04 07:30:00,990.0,-0.9,273.04,-2.55,88.5,5.72,5.06,0.66,3.18,5.11,1264.29,3.25,5.5,251.2
2009-01-04 08:00:00,989.92,-0.89,273.06,-2.45,89.1,5.72,5.1,0.62,3.21,5.15,1264.12,2.93,5.0,242.6
2009-01-04 08:30:00,989.97,-0.7,273.24,-2.51,87.5,5.8,5.08,0.73,3.2,5.13,1263.32,2.12,4.13,254.9
2009-01-04 09:00:00,989.95,-0.72,273.23,-2.73,86.2,5.79,4.99,0.8,3.14,5.04,1263.42,1.7,3.88,254.0
2009-01-04 09:30:00,989.87,-1.31,272.64,-2.74,89.9,5.55,4.99,0.56,3.14,5.04,1266.05,1.67,2.5,212.1
2009-01-04 10:00:00,989.86,-1.37,272.59,-2.71,90.5,5.53,5.0,0.52,3.15,5.05,1266.28,2.59,4.5,232.9
2009-01-04 10:30:00,989.83,-1.14,272.81,-2.54,90.2,5.62,5.07,0.55,3.19,5.12,1265.19,2.44,4.13,236.4
2009-01-04 11:00:00,989.64,-1.1,272.87,-2.53,90.0,5.63,5.07,0.56,3.19,5.12,1264.75,2.38,4.5,234.6
2009-01-04 11:30:00,989.29,-1.1,272.9,-2.44,90.6,5.63,5.1,0.53,3.22,5.16,1264.29,2.19,5.13,224.2
2009-01-04 12:00:00,988.94,-1.21,272.82,-2.36,91.8,5.59,5.13,0.46,3.23,5.19,1264.3,1.99,3.88,225.8
2009-01-04 12:30:00,988.49,-0.94,273.12,-2.39,89.8,5.7,5.12,0.58,3.23,5.18,1262.5,2.58,4.5,233.2
2009-01-04 13:00:00,988.07,-1.02,273.08,-2.53,89.4,5.67,5.07,0.6,3.2,5.13,1262.35,3.08,6.5,227.6
2009-01-04 13:30:00,987.88,-1.04,273.07,-2.51,89.7,5.66,5.08,0.58,3.2,5.14,1262.19,2.3,4.5,228.5
2009-01-04 14:00:00,987.57,-0.77,273.37,-2.33,89.1,5.77,5.14,0.63,3.25,5.21,1260.53,1.5,2.88,229.6
2009-01-04 14:30:00,987.23,-0.9,273.26,-2.67,87.7,5.72,5.01,0.7,3.17,5.08,1260.76,3.71,5.75,215.2
2009-01-04 15:00:00,987.03,-0.7,273.48,-2.52,87.4,5.8,5.07,0.73,3.2,5.14,1259.56,0.61,1.88,249.1
2009-01-04 15:30:00,986.9,-0.84,273.35,-2.63,87.6,5.74,5.03,0.71,3.18,5.1,1260.04,1.01,2.13,213.7
2009-01-04 16:00:00,986.69,-1.05,273.15,-2.7,88.5,5.65,5.0,0.65,3.16,5.07,1260.77,1.03,2.13,192.8
2009-01-04 16:30:00,986.63,-1.29,272.92,-2.83,89.2,5.56,4.96,0.6,3.13,5.02,1261.81,1.59,4.25,228.2
2009-01-04 17:00:00,986.54,-1.46,272.76,-2.77,90.7,5.49,4.98,0.51,3.14,5.05,1262.46,1.1,2.25,220.7
2009-01-04 17:30:00,986.39,-1.42,272.81,-2.65,91.3,5.5,5.02,0.48,3.17,5.09,1262.09,0.54,1.38,225.5
2009-01-04 18:00:00,986.15,-1.51,272.74,-2.73,91.3,5.47,4.99,0.48,3.16,5.06,1262.18,1.39,2.5,217.0
2009-01-04 18:30:00,986.04,-1.56,272.7,-2.71,91.8,5.45,5.0,0.45,3.16,5.07,1262.29,1.36,3.25,206.0
2009-01-04 19:00:00,985.92,-1.62,272.64,-2.73,92.1,5.42,4.99,0.43,3.16,5.07,1262.42,0.97,2.25,191.3
2009-01-04 19:30:00,985.83,-1.6,272.67,-2.68,92.3,5.43,5.01,0.42,3.17,5.08,1262.21,1.15,3.5,227.4
2009-01-04 20:00:00,985.68,-1.56,272.72,-2.66,92.2,5.45,5.02,0.42,3.17,5.09,1261.83,1.76,3.25,223.0
2009-01-04 20:30:00,985.65,-1.51,272.78,-2.58,92.3,5.47,5.05,0.42,3.19,5.12,1261.52,1.36,3.13,229.2
2009-01-04 21:00:00,985.45,-1.51,272.8,-2.51,92.8,5.47,5.08,0.39,3.21,5.15,1261.25,1.89,4.13,220.5
2009-01-04 21:30:00,985.43,-1.49,272.82,-2.44,93.2,5.48,5.1,0.37,3.23,5.18,1261.12,1.05,3.38,211.2
2009-01-04 22:00:00,985.43,-1.43,272.88,-2.31,93.7,5.5,5.15,0.35,3.26,5.23,1260.82,0.88,3.38,144.8
2009-01-04 22:30:00,985.31,-1.51,272.81,-2.37,93.8,5.47,5.13,0.34,3.24,5.21,1261.04,1.79,3.25,205.6
2009-01-04 23:00:00,985.27,-1.44,272.87,-2.35,93.5,5.49,5.14,0.36,3.25,5.21,1260.69,1.47,3.13,212.5
